Iteration,EnvExecTime,GradNorm,TotalEnvSteps,LossAfter,Entropy,ProcessExecTime,AverageDiscountedReturn,KL,PolicyExecTime,StdReturn,KLBefore,AverageReturn,dLoss,EvalAvgReturn,NumTrajs,MinReturn,MaxReturn,LossBefore
56,2.7790887355804443,0.356561489688279,285924,-0.16838228702545166,1.5395907163619995,0.06293344497680664,-26.052296358544947,0.0006139532779343426,2.09952712059021,32.551092147576256,0.0005721489433199167,-49.57999999999999,-0.0010111480951309204,,300,-122.50000000000001,3.000000000000007,-0.16939343512058258
57,2.9039340019226074,0.3575153875815534,290924,-0.17067641019821167,1.536004900932312,0.06490755081176758,-34.985588160572455,0.0008160027209669352,2.175584554672241,37.06278996513889,0.0006484139594249427,-59.13999999999999,-0.0053142160177230835,,300,-136.99999999999994,-1.999999999999984,-0.17599062621593475
58,2.6548144817352295,0.38117196599114656,295924,-0.1695929318666458,1.5345360040664673,0.06207132339477539,-34.214365067829846,0.0006738530937582254,2.1017885208129883,33.696967222585485,0.0008379244245588779,-56.88,-0.0023984313011169434,,300,-136.00000000000003,13.000000000000028,-0.17199136316776276
59,2.6771278381347656,0.32929612375166273,300924,-0.16948722302913666,1.5340778827667236,0.06264591217041016,-29.03018267788048,0.0008171318913809955,2.0816123485565186,28.95444698142239,0.0006613612058572471,-54.1,-0.0020660459995269775,,300,-134.0,-14.000000000000018,-0.17155326902866364
60,2.8156845569610596,0.3673930283607015,305924,-0.16973349452018738,1.5320935249328613,0.06397438049316406,-31.556422016032798,0.0007104548858478665,2.1495306491851807,35.149532002574375,0.0008102430729195476,-54.98,0.0008115768432617188,-28.20500000000003,300,-124.00000000000001,3.5000000000000053,-0.16892191767692566
61,2.8194780349731445,0.27082643223393527,310924,-0.16821399331092834,1.5319163799285889,0.0626223087310791,-32.41894314472592,0.0006593005382455885,2.093601942062378,25.495882020436163,0.000704707985278219,-54.19999999999999,-0.0008635073900222778,,300,-107.49999999999997,-10.5,-0.16907750070095062
62,2.832740068435669,0.36985395478094424,315924,-0.16758371889591217,1.532383680343628,0.06243538856506348,-35.9147824627726,0.000663663144223392,2.078406810760498,38.6197566020295,0.0007199710234999657,-62.88,-0.003604412078857422,,300,-150.00000000000003,2.0,-0.1711881309747696
63,2.9601097106933594,0.3317392170783153,320924,-0.16919925808906555,1.5325627326965332,0.06387901306152344,-38.22204038769616,0.0007440471672452986,2.151899576187134,35.03360672268843,0.0006733961636200547,-64.07999999999998,-0.0049140602350234985,,300,-127.0,-1.9999999999999778,-0.17411331832408905
64,2.834622621536255,0.41213182416373045,325924,-0.17012529075145721,1.5257916450500488,0.06390833854675293,-33.07661549607781,0.0008682130719535053,2.137364387512207,28.041041350135345,0.0007420980837196112,-57.8,-0.001388251781463623,,300,-97.0,1.5000000000000249,-0.17151354253292084
65,3.219766616821289,0.41015897864522344,330924,-0.1680537909269333,1.5282847881317139,0.0665140151977539,-41.384468620786656,0.0007171259494498372,2.2703418731689453,33.36371681932336,0.0009130644612014294,-68.82,-0.0029127895832061768,,300,-152.5,6.500000000000021,-0.17096658051013947
66,3.1165266036987305,0.40465217220854793,335924,-0.1685551106929779,1.5289016962051392,0.0660545825958252,-29.545540503569914,0.0008517245878465474,2.2415201663970947,32.887383599185874,0.0006468993960879743,-52.19999999999999,-0.0023684054613113403,,300,-136.5,-4.999999999999998,-0.17092351615428925
67,2.8545851707458496,0.41290288311999557,340924,-0.16715121269226074,1.5230854749679565,0.06423807144165039,-27.177466206266075,0.0007008499815128744,2.171684741973877,33.228879006069405,0.0008472086046822369,-48.95999999999998,-0.008614763617515564,,300,-125.0,1.9999999999999893,-0.1757659763097763
68,2.7461493015289307,0.31438572826780153,345924,-0.1687365174293518,1.5240113735198975,0.06384062767028809,-23.121626059503296,0.000675083021633327,2.1626031398773193,40.01411750869936,0.0006620594067499042,-42.01999999999999,-0.0042556822299957275,,300,-127.49999999999999,40.999999999999986,-0.17299219965934753
69,2.73386549949646,0.3229903801785952,350924,-0.16669969260692596,1.5216715335845947,0.06328964233398438,-30.06480699659555,0.0006083279731683433,2.110351324081421,37.67138967439349,0.0007017605239525437,-54.08,-0.0007141232490539551,,300,-148.5,22.000000000000014,-0.16741381585597992
70,2.88008451461792,0.31276057911762256,355924,-0.1661912053823471,1.5241669416427612,0.06319594383239746,-32.28388937236708,0.0007505500689148903,2.1439738273620605,39.11692216931185,0.000617142824921757,-57.91999999999999,-0.006335750222206116,,300,-172.50000000000003,5.000000000000011,-0.17252695560455322
71,2.7477877140045166,0.3626430241763595,360924,-0.1687760353088379,1.519065499305725,0.0640416145324707,-26.580120535409346,0.0007666837191209197,2.133603096008301,29.50724656758065,0.0007190986652858555,-48.32,0.00019869208335876465,,300,-111.00000000000001,6.000000000000018,-0.16857734322547913
72,2.9961984157562256,0.40151273311678853,365924,-0.16652897000312805,1.5187498331069946,0.0676121711730957,-25.896094529403204,0.0006216129986569285,2.267118453979492,18.948393071709273,0.0007436729501932859,-45.28,0.00212077796459198,,300,-78.49999999999999,-15.999999999999973,-0.16440819203853607
73,2.762880802154541,0.30950014301408546,370924,-0.1654973328113556,1.5126434564590454,0.06326580047607422,-33.01335299938992,0.0007007813546806574,2.098766803741455,31.51784256575948,0.0006833625957369804,-59.66,-0.001393541693687439,,300,-128.0,-6.4999999999999964,-0.16689087450504303
74,2.8667919635772705,0.38652985311111315,375924,-0.16518284380435944,1.51260244846344,0.06402468681335449,-25.26638331905791,0.0005963098956272006,2.1710944175720215,30.88300503513219,0.0006638501072302461,-45.899999999999984,-0.0022026747465133667,,300,-110.49999999999997,15.000000000000018,-0.1673855185508728
