AverageReturn,dLoss,ProcessExecTime,KLBefore,LossAfter,Entropy,NumTrajs,LossBefore,MaxReturn,PolicyExecTime,EnvExecTime,KL,Iteration,GradNorm,StdReturn,TotalEnvSteps,MinReturn,AverageDiscountedReturn
-26.57894736842104,-0.003012552857398987,0.15092778205871582,0.0013020179467275739,-0.17003805935382843,1.4920274019241333,304,-0.17305061221122742,23.000000000000014,5.41468620300293,6.315570831298828,0.0013061573263257742,65,0.33053992482183303,19.428860219227545,501664,-69.5,-12.294109488631864
-23.776315789473678,-0.0027091801166534424,0.1520075798034668,0.0012908711796626449,-0.16897930204868317,1.492679476737976,304,-0.1716884821653366,9.499999999999993,5.293405771255493,6.278431415557861,0.0011686646612361073,66,0.3378488535109936,14.036464433574924,509264,-53.5,-9.851762766811754
-22.92105263157894,0.00048707425594329834,0.15228629112243652,0.001176718738861382,-0.16819459199905396,1.4940483570098877,304,-0.16770751774311066,15.499999999999991,5.2459962368011475,5.996236562728882,0.0011718238238245249,67,0.3459936642992937,17.161204072201812,516864,-55.99999999999997,-9.116436732052495
-27.276315789473678,-0.00017781555652618408,0.15308880805969238,0.0011751983547583222,-0.17050880193710327,1.4974079132080078,304,-0.17068661749362946,14.999999999999975,5.335776329040527,6.37409520149231,0.0014911771286278963,68,0.36736539423423803,17.484465800284823,524464,-65.49999999999999,-13.367977708414529
-29.197368421052627,0.0028523504734039307,0.1527388095855713,0.001487399684265256,-0.16924792528152466,1.494213581085205,304,-0.16639557480812073,20.499999999999975,5.397100448608398,6.42145848274231,0.0011946015292778611,69,0.29737376796504644,18.302839682497716,532064,-74.49999999999997,-13.330407645091015
-22.23684210526315,-0.0010164976119995117,0.15023398399353027,0.0011762657668441534,-0.17016790807247162,1.4981987476348877,304,-0.17118440568447113,11.499999999999982,5.3201024532318115,6.013920068740845,0.0011741669150069356,70,0.3326750315743787,17.642926434851883,539664,-54.99999999999998,-9.480313836491662
-24.539473684210513,0.002736806869506836,0.15226006507873535,0.0011756322346627712,-0.16824695467948914,1.500327706336975,304,-0.1655101478099823,19.5,5.402225971221924,6.154049396514893,0.0011962233111262321,71,0.36194511726519896,17.14120212380997,547264,-58.99999999999999,-11.821323211187952
-28.565789473684198,-0.00027082860469818115,0.1456599235534668,0.001201339648105204,-0.16974686086177826,1.495780348777771,304,-0.17001768946647644,4.999999999999989,5.250367641448975,6.352795362472534,0.0013037176104262471,72,0.2951615420455859,18.186957100825236,554864,-69.99999999999997,-14.137139596740054
-26.815789473684205,-0.002225354313850403,0.1526966094970703,0.0012925646733492613,-0.17022036015987396,1.492382287979126,304,-0.17244571447372437,11.499999999999995,5.384204626083374,6.355783462524414,0.0013506512623280287,73,0.3170374100751313,18.569719640711487,562464,-66.49999999999997,-12.075316833616375
-24.11842105263157,-0.0003686845302581787,0.1507422924041748,0.0013407939113676548,-0.16917169094085693,1.4912718534469604,304,-0.1695403754711151,5.000000000000012,5.2700371742248535,6.32922887802124,0.001284539233893156,74,0.34895345920552756,14.88925531457885,570064,-56.49999999999997,-10.542009165863117
